Date,Product_ID,Category,Product_Group,Price,Rating,Marketing_Spend,Stock_Available,Sales,Revenue,Customer_ID,Region,Launch_Flag
2024-05-08,P10,Dairy,G4,25.04,3.6,1586,1,28,701.12,4907,West,0
2023-04-15,P4,Dairy,G2,53.64,3.9,1763,1,26,1394.64,2997,West,0
2024-10-29,P4,Dairy,G2,76.41,3.0,1587,1,27,2063.0699999999997,7175,North,1
2023-01-06,P17,Household,G6,218.42,3.5,2861,1,34,7426.28,2318,West,0
2023-10-09,P4,Dairy,G2,63.39,3.7,3691,0,23,1457.97,6225,East,0
2024-07-12,P9,Personal Care,G3,207.82,4.5,2596,1,15,3117.2999999999997,3606,West,0
2024-01-22,P11,Household,G4,285.74,4.9,1856,0,24,6857.76,3972,South,0
2024-03-23,P19,Snacks,G7,24.0,3.8,1845,1,28,672.0,4511,West,0
2024-11-01,P10,Dairy,G4,23.94,3.6,3688,1,19,454.86,5411,West,0
2024-10-25,P25,Snacks,G9,10.43,4.3,387,1,26,271.18,7519,West,0
2023-01-03,P7,Personal Care,G3,69.56,3.8,2313,1,39,2712.84,9557,West,0
2024-05-01,P25,Snacks,G9,35.1,4.5,4850,1,42,1474.2,1121,South,0
2023-05-09,P11,Household,G4,108.56,4.7,2792,1,28,3039.6800000000003,3050,East,0
2024-12-03,P16,Beverages,G6,79.94,3.5,3471,0,23,1838.62,4085,West,0
2024-08-24,P9,Personal Care,G3,159.36,4.1,2507,1,15,2390.4,1940,West,0
2023-09-27,P8,Personal Care,G3,165.61,4.8,365,0,27,4471.47,3193,East,0
2023-06-09,P22,Dairy,G8,60.37,3.9,304,1,25,1509.25,8012,West,0
2023-02-13,P17,Household,G6,158.8,4.7,1226,1,26,4128.8,2157,West,0
2023-08-31,P11,Household,G4,311.93,4.1,1343,1,29,9045.97,2572,West,0
2023-10-16,P12,Personal Care,G4,268.67,4.0,3859,1,25,6716.75,5027,South,0
2023-03-05,P3,Personal Care,G1,212.5,3.2,1827,0,20,4250.0,6050,East,0
2023-07-06,P9,Personal Care,G3,123.59,3.7,478,1,29,3584.11,7384,East,0
2024-08-20,P1,Household,G1,176.67,4.4,184,1,26,4593.42,1506,East,1
2023-04-26,P23,Household,G8,319.64,4.7,2632,1,17,5433.88,8822,South,0
2024-12-24,P25,Snacks,G9,32.83,3.9,3127,1,32,1050.56,7112,South,0
2024-03-29,P14,Beverages,G5,78.53,3.9,949,1,29,2277.37,8971,East,0
2024-11-01,P16,Beverages,G6,99.64,4.1,2726,1,29,2889.56,2956,South,0
2023-04-20,P25,Snacks,G9,13.09,3.7,702,1,26,340.34,5504,West,0
2023-11-22,P22,Dairy,G8,66.7,4.8,4002,1,28,1867.6000000000001,5307,East,0
2023-08-04,P3,Personal Care,G1,226.9,4.7,3460,1,24,5445.6,9507,North,0
2024-05-06,P9,Personal Care,G3,75.68,3.9,896,1,23,1740.64,1783,East,0
2023-01-04,P12,Personal Care,G4,134.77,4.9,4754,1,29,3908.3300000000004,7549,East,0
2024-01-12,P16,Beverages,G6,52.48,3.7,1359,1,26,1364.48,5809,West,0
2024-03-16,P12,Personal Care,G4,67.19,4.9,3331,1,30,2015.6999999999998,7885,East,0
2024-11-03,P17,Household,G6,277.58,5.0,952,0,29,8049.82,2781,South,0
2023-10-13,P15,Household,G5,468.61,3.7,1399,1,20,9372.2,5381,South,0
2024-02-06,P14,Beverages,G5,25.14,3.2,3538,1,40,1005.6,4286,East,0
2023-02-25,P22,Dairy,G8,59.82,4.2,881,0,37,2213.34,7794,West,0
2024-10-08,P25,Snacks,G9,47.62,3.2,4502,1,27,1285.74,1731,East,0
2023-10-24,P19,Snacks,G7,23.09,3.2,4208,1,27,623.43,4930,North,0
2024-09-08,P2,Dairy,G1,62.35,3.4,3196,1,30,1870.5,6017,South,1
2023-08-15,P4,Dairy,G2,75.4,5.0,4424,1,25,1885.0000000000002,9951,South,0
2023-12-14,P6,Beverages,G2,90.21,3.2,1255,1,31,2796.5099999999998,8575,East,0
2023-07-03,P16,Beverages,G6,46.11,4.1,4062,1,37,1706.07,5351,West,0
2024-01-27,P3,Personal Care,G1,220.33,4.4,1270,1,30,6609.900000000001,3806,West,0
2024-05-15,P14,Beverages,G5,79.75,3.1,864,1,25,1993.75,3492,North,0
2024-09-28,P6,Beverages,G2,92.47,4.2,63,1,16,1479.52,5232,South,0
2024-05-31,P18,Dairy,G6,56.79,3.0,453,1,18,1022.22,9677,West,0
2024-11-14,P2,Dairy,G1,50.22,3.4,1988,1,32,1607.04,2964,East,1
2024-06-06,P7,Personal Care,G3,279.15,4.7,931,1,13,3628.95,2785,West,0
2023-08-19,P7,Personal Care,G3,224.58,4.2,1600,1,18,4042.44,6155,East,0
2024-08-30,P21,Beverages,G7,84.62,4.2,3011,1,35,2961.7000000000003,4669,East,0
2024-10-16,P4,Dairy,G2,79.13,4.6,2889,1,34,2690.42,4953,East,1
2023-10-15,P8,Personal Care,G3,137.0,3.9,4769,1,29,3973.0,3807,West,0
2024-11-16,P1,Household,G1,274.58,4.1,4331,0,29,7962.82,3342,West,1
2023-01-21,P15,Household,G5,213.11,3.8,1342,1,25,5327.75,1571,West,0
2024-12-11,P17,Household,G6,415.13,4.7,4468,1,25,10378.25,6240,East,0
2024-11-05,P23,Household,G8,497.15,4.5,1361,1,24,11931.599999999999,1344,East,0
2024-11-16,P19,Snacks,G7,26.77,4.3,2524,1,29,776.33,6252,East,0
2023-09-30,P12,Personal Care,G4,157.93,3.5,97,1,22,3474.46,7906,West,0
2024-06-26,P23,Household,G8,173.88,3.7,2465,1,30,5216.4,2798,South,0
2024-05-12,P16,Beverages,G6,87.03,4.5,2471,1,27,2349.81,5647,South,0
2023-01-08,P11,Household,G4,285.45,4.2,2830,1,28,7992.599999999999,7370,North,0
2023-09-18,P8,Personal Care,G3,262.73,3.0,2646,1,24,6305.52,6177,East,0
2024-02-17,P3,Personal Care,G1,226.48,4.6,1179,1,20,4529.599999999999,3889,North,0
2024-09-03,P22,Dairy,G8,51.45,3.6,363,1,29,1492.0500000000002,8025,South,0
2024-08-15,P16,Beverages,G6,92.72,3.7,4203,1,28,2596.16,4557,North,0
2023-08-13,P16,Beverages,G6,38.07,4.7,856,1,29,1104.03,4411,North,0
2024-08-12,P20,Household,G7,234.02,4.6,271,1,24,5616.4800000000005,9839,East,0
2024-10-23,P8,Personal Care,G3,213.68,4.9,1547,1,15,3205.2000000000003,8088,West,0
2024-12-30,P16,Beverages,G6,52.36,3.4,4877,1,24,1256.6399999999999,5016,East,0
2023-08-13,P5,Dairy,G2,39.4,3.2,4615,0,28,1103.2,1280,North,0
2023-05-28,P5,Dairy,G2,60.85,3.6,3424,1,24,1460.4,4216,East,0
2023-04-22,P19,Snacks,G7,13.08,4.7,4949,1,31,405.48,4793,North,0
2023-08-06,P4,Dairy,G2,20.99,4.6,1445,1,37,776.63,1808,North,0
2024-01-03,P25,Snacks,G9,26.65,4.8,4890,1,28,746.1999999999999,4724,East,0
2023-03-09,P24,Snacks,G8,19.96,4.9,4900,0,28,558.88,9681,West,0
2024-10-18,P9,Personal Care,G3,262.02,4.9,2551,1,17,4454.34,9610,North,0
2023-04-12,P14,Beverages,G5,90.46,4.1,582,0,25,2261.5,4783,East,0
2023-11-15,P3,Personal Care,G1,289.56,3.3,1761,1,20,5791.2,3456,East,0
2024-01-30,P22,Dairy,G8,27.23,4.8,3068,1,35,953.0500000000001,8954,South,0
2024-01-02,P4,Dairy,G2,40.51,4.0,3601,1,30,1215.3,2305,East,0
2024-11-18,P4,Dairy,G2,77.26,3.6,2049,1,21,1622.46,6773,North,1
2024-09-08,P15,Household,G5,464.59,3.1,1167,1,29,13473.109999999999,8211,South,0
2024-06-20,P12,Personal Care,G4,236.65,4.9,3096,1,31,7336.150000000001,5235,West,0
2023-02-22,P24,Snacks,G8,22.69,3.8,4469,1,27,612.63,3423,East,0
2024-10-16,P12,Personal Care,G4,179.35,3.2,1982,0,23,4125.05,3468,East,0
2024-04-01,P7,Personal Care,G3,67.79,3.6,1227,0,27,1830.3300000000002,7356,West,0
2024-03-11,P22,Dairy,G8,49.92,4.0,972,1,31,1547.52,7147,West,0
2023-08-08,P10,Dairy,G4,61.47,3.9,3286,0,33,2028.51,2675,North,0
2023-12-28,P16,Beverages,G6,37.2,4.3,4523,1,30,1116.0,7988,North,0
2023-05-13,P19,Snacks,G7,31.36,4.8,822,1,31,972.16,5306,East,0
2024-01-16,P21,Beverages,G7,66.26,3.6,4733,1,37,2451.6200000000003,4548,North,0
2024-11-06,P11,Household,G4,400.06,4.3,131,0,18,7201.08,8408,West,0
2024-10-11,P2,Dairy,G1,21.16,4.5,4237,1,33,698.28,4925,South,1
2023-07-13,P21,Beverages,G7,24.94,4.0,2183,1,32,798.08,7985,South,0
2024-03-16,P3,Personal Care,G1,51.5,3.8,1110,1,22,1133.0,1956,North,0
2024-08-03,P18,Dairy,G6,28.34,4.7,2106,1,30,850.2,3724,West,0
2023-08-22,P18,Dairy,G6,70.79,3.1,495,1,26,1840.5400000000002,6017,South,0
2023-10-06,P21,Beverages,G7,27.8,4.6,3297,1,32,889.6,7005,West,0
2023-05-20,P7,Personal Care,G3,114.06,4.7,1055,1,32,3649.92,5148,South,0
2023-08-25,P2,Dairy,G1,31.95,4.0,1256,1,30,958.5,1498,West,0
2024-12-15,P7,Personal Care,G3,271.33,3.1,3247,1,18,4883.94,2367,North,0
2024-11-04,P15,Household,G5,139.78,3.8,989,1,27,3774.06,3149,North,0
2023-11-12,P19,Snacks,G7,28.02,3.4,3154,1,32,896.64,3170,West,0
2023-08-19,P3,Personal Care,G1,298.59,4.7,3695,1,28,8360.519999999999,6127,East,0
2023-07-09,P6,Beverages,G2,66.47,4.1,4966,0,29,1927.6299999999999,9835,East,0
2024-09-01,P16,Beverages,G6,90.43,4.8,1140,1,22,1989.46,4473,West,0
2023-10-09,P24,Snacks,G8,29.77,3.2,205,1,26,774.02,8787,East,0
2023-03-04,P8,Personal Care,G3,177.78,4.9,4886,1,34,6044.52,3207,East,0
2023-04-23,P25,Snacks,G9,41.18,4.3,4862,1,28,1153.04,7419,North,0
2023-01-09,P4,Dairy,G2,69.79,3.3,859,1,30,2093.7000000000003,7607,East,0
2024-02-28,P11,Household,G4,227.81,4.3,1351,1,26,5923.06,3007,East,0
2023-02-04,P24,Snacks,G8,33.45,5.0,4018,1,35,1170.75,6015,North,0
2023-07-21,P22,Dairy,G8,45.85,4.0,476,1,42,1925.7,5815,West,0
2024-07-14,P16,Beverages,G6,46.68,4.6,1759,0,35,1633.8,9309,East,0
2024-05-30,P12,Personal Care,G4,93.94,3.3,4944,0,23,2160.62,8357,North,0
2024-02-12,P3,Personal Care,G1,174.45,3.4,4845,1,33,5756.849999999999,8471,South,0
2023-03-19,P2,Dairy,G1,70.63,3.7,2398,1,22,1553.86,9809,East,0
2023-06-02,P21,Beverages,G7,45.82,3.3,2326,1,29,1328.78,7910,East,0
2024-04-08,P13,Dairy,G5,39.6,3.6,362,1,19,752.4,2483,South,0
2024-08-11,P3,Personal Care,G1,233.07,3.9,434,1,21,4894.47,5097,East,1
2024-09-21,P7,Personal Care,G3,229.6,3.5,4470,1,12,2755.2,1439,South,0
2024-09-07,P23,Household,G8,256.31,4.7,1851,0,25,6407.75,5997,West,0
2023-05-19,P10,Dairy,G4,70.67,3.6,469,0,35,2473.4500000000003,3906,West,0
2023-09-15,P23,Household,G8,328.66,3.5,2090,1,21,6901.860000000001,9402,West,0
2024-08-19,P23,Household,G8,178.23,3.1,4227,1,25,4455.75,6956,South,0
2023-09-25,P12,Personal Care,G4,208.89,4.0,3859,1,22,4595.58,7981,West,0
2023-08-21,P15,Household,G5,183.09,3.8,2939,1,29,5309.61,7396,North,0
2024-08-15,P7,Personal Care,G3,187.96,4.9,1988,1,17,3195.32,8714,East,0
2023-11-16,P21,Beverages,G7,92.24,4.6,2954,1,28,2582.72,6079,South,0
2023-10-04,P18,Dairy,G6,53.3,3.2,2619,1,33,1758.8999999999999,1572,South,0
2023-04-08,P14,Beverages,G5,22.68,3.7,4526,1,28,635.04,3780,West,0
2023-11-15,P21,Beverages,G7,96.41,4.2,1550,1,33,3181.5299999999997,8052,West,0
2023-09-22,P13,Dairy,G5,63.27,3.2,2736,1,34,2151.1800000000003,6600,North,0
2023-10-13,P24,Snacks,G8,15.97,3.6,707,1,28,447.16,5683,North,0
2024-06-27,P14,Beverages,G5,63.68,3.9,56,1,26,1655.68,5332,West,0
2023-06-22,P7,Personal Care,G3,104.94,3.6,1044,1,28,2938.3199999999997,8269,North,0
2023-03-11,P17,Household,G6,192.66,4.5,1449,1,29,5587.14,5595,South,0
2024-11-03,P15,Household,G5,196.95,3.3,421,1,27,5317.65,2844,East,0
2024-08-15,P23,Household,G8,319.18,3.5,258,1,18,5745.24,9065,East,0
2024-06-08,P9,Personal Care,G3,70.89,3.7,533,1,15,1063.35,9924,West,0
2023-05-21,P9,Personal Care,G3,209.1,4.0,68,1,16,3345.6,6556,North,0
2024-02-03,P4,Dairy,G2,47.45,3.5,1177,1,24,1138.8000000000002,5073,North,0
2023-02-22,P2,Dairy,G1,63.26,3.0,4551,1,28,1771.28,3505,West,0
2023-01-08,P18,Dairy,G6,35.26,4.3,2078,1,31,1093.06,7675,North,0
2024-04-23,P15,Household,G5,397.37,4.3,3285,1,27,10728.99,2031,North,0
2023-06-18,P18,Dairy,G6,30.55,3.3,4465,0,25,763.75,2917,South,0
2023-04-29,P2,Dairy,G1,56.66,4.8,1507,1,32,1813.12,9953,South,0
2023-08-20,P9,Personal Care,G3,228.17,4.8,4935,1,32,7301.44,4664,East,0
2024-10-16,P22,Dairy,G8,15.27,3.8,959,1,38,580.26,6177,South,0
2024-09-29,P11,Household,G4,314.37,4.8,2887,1,37,11631.69,3679,South,0
2023-12-15,P9,Personal Care,G3,215.67,4.2,3912,1,26,5607.42,7515,South,0
2023-04-02,P21,Beverages,G7,86.58,4.2,1149,1,28,2424.24,7118,East,0
2023-08-24,P21,Beverages,G7,33.35,3.3,4542,1,36,1200.6000000000001,9407,North,0
2023-04-11,P22,Dairy,G8,55.97,3.5,422,1,29,1623.1299999999999,9664,West,0
2023-04-05,P16,Beverages,G6,64.8,3.5,2208,1,25,1620.0,3375,East,0
2024-04-05,P4,Dairy,G2,42.23,4.8,4653,1,38,1604.7399999999998,5628,North,0
2024-02-28,P5,Dairy,G2,51.78,3.0,1601,0,24,1242.72,2755,South,0
2024-02-29,P15,Household,G5,462.79,5.0,2414,1,19,8793.01,7106,West,0
2023-03-18,P17,Household,G6,133.59,3.2,2425,1,23,3072.57,1139,East,0
2024-06-29,P21,Beverages,G7,52.43,3.2,552,1,15,786.45,8359,West,0
2024-04-05,P12,Personal Care,G4,273.15,3.3,3332,1,26,7101.9,5428,East,0
2023-03-17,P3,Personal Care,G1,242.94,3.3,3647,1,31,7531.14,8781,West,0
2024-06-15,P5,Dairy,G2,34.38,3.7,801,1,28,962.6400000000001,1114,South,1
2023-09-04,P8,Personal Care,G3,229.87,3.2,3453,1,28,6436.360000000001,3029,East,0
2023-03-16,P6,Beverages,G2,25.79,3.4,2421,0,32,825.28,1952,West,0
2023-02-06,P15,Household,G5,106.29,3.2,1127,1,22,2338.38,4697,South,0
2023-08-21,P24,Snacks,G8,15.68,4.3,558,1,29,454.71999999999997,1342,North,0
2024-08-09,P19,Snacks,G7,37.88,4.5,553,1,32,1212.16,7816,East,0
2023-03-21,P21,Beverages,G7,69.69,3.7,1668,1,26,1811.94,7845,North,0
2024-08-17,P18,Dairy,G6,62.62,4.6,3199,1,35,2191.7,4557,West,0
2023-05-05,P10,Dairy,G4,41.23,3.1,559,1,22,907.06,1561,North,0
2023-10-22,P22,Dairy,G8,22.05,4.4,4433,1,31,683.5500000000001,6446,North,0
2023-05-26,P18,Dairy,G6,78.72,3.7,626,1,24,1889.28,7278,South,0
2024-04-15,P2,Dairy,G1,57.19,4.1,1656,1,30,1715.6999999999998,1799,North,0
2024-03-13,P3,Personal Care,G1,59.39,4.5,678,1,31,1841.09,2778,East,0
2023-06-18,P3,Personal Care,G1,252.79,3.6,805,1,19,4803.01,9133,South,0
2023-09-16,P17,Household,G6,475.84,3.8,2790,1,15,7137.599999999999,5982,South,0
2024-11-26,P10,Dairy,G4,58.05,3.3,893,1,17,986.8499999999999,4579,West,0
2024-05-15,P16,Beverages,G6,23.18,3.2,3780,1,35,811.3,7330,East,0
2024-11-07,P13,Dairy,G5,66.54,3.4,1316,1,34,2262.36,7852,West,0
2023-10-28,P9,Personal Care,G3,298.99,4.0,4464,1,35,10464.65,8959,North,0
2024-05-10,P14,Beverages,G5,76.55,4.0,939,1,26,1990.3,2764,West,0
2024-11-04,P16,Beverages,G6,34.34,4.7,1532,1,31,1064.5400000000002,1755,South,0
2024-02-01,P4,Dairy,G2,31.77,3.6,690,1,28,889.56,1295,South,0
2023-02-22,P21,Beverages,G7,20.8,4.5,2027,1,30,624.0,3204,South,0
2024-09-15,P18,Dairy,G6,31.14,3.5,1853,1,26,809.64,8305,East,0
2024-01-26,P7,Personal Care,G3,284.84,3.5,2701,1,27,7690.679999999999,6205,West,0
2023-10-23,P3,Personal Care,G1,252.92,3.8,2813,0,31,7840.5199999999995,4727,South,0
2024-08-22,P9,Personal Care,G3,141.77,4.0,3051,1,15,2126.55,7416,West,0
2024-09-28,P21,Beverages,G7,74.32,4.5,313,1,29,2155.2799999999997,4597,West,0
2024-07-05,P24,Snacks,G8,23.07,3.1,4883,1,28,645.96,9242,South,0
2024-02-16,P25,Snacks,G9,16.2,4.9,4601,1,33,534.6,3943,South,0
2024-09-14,P23,Household,G8,107.93,4.7,2874,1,30,3237.9,7665,East,0
2024-09-24,P12,Personal Care,G4,123.61,4.5,1168,1,27,3337.47,4411,South,0
2024-12-18,P23,Household,G8,273.3,4.2,3327,1,20,5466.0,8010,North,0
2024-10-08,P22,Dairy,G8,59.69,3.5,2788,1,31,1850.3899999999999,5367,South,0
2023-03-19,P13,Dairy,G5,18.8,4.5,1049,1,30,564.0,8420,North,0
2024-05-06,P15,Household,G5,237.03,3.5,967,1,23,5451.69,5894,North,0
2024-06-01,P5,Dairy,G2,42.74,4.1,1682,1,33,1410.42,1483,South,1
2024-01-04,P13,Dairy,G5,50.2,3.3,1121,0,21,1054.2,2853,West,0
2023-07-05,P17,Household,G6,424.22,3.0,327,1,24,10181.28,6234,South,0
2023-01-15,P24,Snacks,G8,30.63,3.8,4227,1,26,796.38,2047,South,0
2023-05-25,P2,Dairy,G1,58.65,4.5,4572,1,30,1759.5,8245,West,0
2023-12-23,P13,Dairy,G5,39.94,4.9,757,1,37,1477.78,8863,North,0
2024-03-06,P17,Household,G6,266.24,3.5,4394,1,34,9052.16,7570,South,0
2023-07-21,P15,Household,G5,259.17,4.9,1953,1,26,6738.42,9475,South,0
2024-08-25,P13,Dairy,G5,44.03,4.5,565,1,31,1364.93,8819,South,0
2023-01-06,P25,Snacks,G9,39.25,4.8,4036,1,30,1177.5,6004,West,0
2024-08-13,P8,Personal Care,G3,92.46,4.6,3551,1,18,1664.28,2798,East,0
2024-02-10,P2,Dairy,G1,72.33,4.3,3942,1,29,2097.57,4981,South,0
2024-04-09,P22,Dairy,G8,16.45,4.4,4083,1,28,460.59999999999997,4887,East,0
2024-08-26,P11,Household,G4,146.79,4.1,4943,1,26,3816.54,2380,East,0
2024-04-15,P11,Household,G4,404.61,3.0,4935,1,14,5664.54,2820,South,0
2024-11-19,P16,Beverages,G6,23.01,3.5,2630,1,32,736.32,1363,West,0
2023-08-22,P21,Beverages,G7,40.69,4.0,1142,1,20,813.8,8130,South,0
2023-08-04,P12,Personal Care,G4,165.54,4.4,1510,0,17,2814.18,9514,South,0
2023-06-15,P25,Snacks,G9,26.28,4.7,819,1,35,919.8000000000001,1930,North,0
2024-05-14,P16,Beverages,G6,44.46,3.1,3458,1,30,1333.8,8068,West,0
2023-12-10,P2,Dairy,G1,32.75,4.4,4132,0,26,851.5,2994,East,0
2024-04-09,P11,Household,G4,451.5,4.0,4251,0,34,15351.0,3439,East,0
2023-01-26,P7,Personal Care,G3,91.35,4.0,663,1,24,2192.3999999999996,6100,North,0
2024-11-22,P11,Household,G4,409.28,5.0,4672,1,31,12687.679999999998,6960,West,0
2023-01-15,P10,Dairy,G4,56.67,3.4,1913,1,21,1190.07,9923,North,0
2024-08-07,P5,Dairy,G2,51.92,4.7,4241,1,30,1557.6000000000001,6321,East,1
2023-03-24,P11,Household,G4,288.47,3.7,4263,1,26,7500.220000000001,4969,North,0
2024-06-12,P3,Personal Care,G1,287.5,4.1,840,1,16,4600.0,9831,East,1
2023-01-27,P17,Household,G6,172.41,3.4,2267,1,27,4655.07,7794,West,0
2023-02-08,P17,Household,G6,190.83,4.9,760,1,28,5343.240000000001,1687,West,0
2024-12-23,P25,Snacks,G9,22.55,4.1,3658,1,31,699.0500000000001,3096,West,0
2024-08-14,P16,Beverages,G6,98.56,3.9,2843,0,28,2759.6800000000003,1391,North,0
2023-05-12,P16,Beverages,G6,65.98,3.8,2128,1,25,1649.5,8970,East,0
2024-01-09,P4,Dairy,G2,31.39,4.4,1373,1,36,1130.04,8680,South,0
2024-05-08,P6,Beverages,G2,28.35,4.4,2833,1,38,1077.3,9980,East,0
2023-04-16,P3,Personal Care,G1,178.31,3.9,3213,1,25,4457.75,7327,West,0
2023-03-07,P17,Household,G6,300.66,3.2,563,0,22,6614.52,5571,West,0
2024-02-03,P15,Household,G5,277.51,4.4,3722,1,29,8047.79,1056,South,0
2023-07-10,P14,Beverages,G5,53.66,3.5,1692,0,21,1126.86,5259,North,0
2024-06-16,P17,Household,G6,249.85,4.5,4866,1,31,7745.349999999999,4964,East,0
2023-02-06,P18,Dairy,G6,74.14,3.6,4913,1,39,2891.46,4612,South,0
2023-09-17,P11,Household,G4,201.12,4.6,1249,1,31,6234.72,2145,South,0
2024-07-19,P12,Personal Care,G4,163.24,4.1,1967,0,38,6203.120000000001,3061,East,0
2023-01-27,P7,Personal Care,G3,235.87,3.0,3795,1,25,5896.75,1907,North,0
2023-02-10,P14,Beverages,G5,58.07,3.6,4000,1,31,1800.17,1813,East,0
2023-05-17,P13,Dairy,G5,26.05,4.8,4146,1,30,781.5,8336,South,0
2024-03-17,P12,Personal Care,G4,68.78,3.2,3744,1,26,1788.28,1615,West,0
2023-03-02,P15,Household,G5,475.06,3.6,1270,1,21,9976.26,7447,South,0
2024-09-02,P14,Beverages,G5,41.08,3.5,1814,1,28,1150.24,5371,South,0
2024-04-25,P5,Dairy,G2,63.58,4.3,154,0,32,2034.56,9023,West,0
2023-07-06,P21,Beverages,G7,62.17,3.9,34,1,27,1678.5900000000001,2313,West,0
2023-06-20,P5,Dairy,G2,17.31,4.0,4564,1,30,519.3,3344,South,0
2023-08-23,P17,Household,G6,427.33,4.6,1596,0,35,14956.55,7507,South,0
2023-06-11,P1,Household,G1,220.05,4.9,3929,1,34,7481.700000000001,2658,North,0
2023-10-15,P23,Household,G8,154.12,4.2,260,1,26,4007.12,3035,North,0
2023-04-07,P21,Beverages,G7,83.68,3.5,3067,1,28,2343.04,5936,North,0
2023-06-26,P4,Dairy,G2,25.12,4.3,4002,1,22,552.64,5772,South,0
2024-11-01,P11,Household,G4,228.67,5.0,2196,1,28,6402.759999999999,7364,North,0
2023-08-20,P2,Dairy,G1,57.33,4.4,3743,1,32,1834.56,5695,West,0
2023-06-24,P22,Dairy,G8,39.88,3.1,3201,0,36,1435.68,8609,North,0
